sample_id,path,label,dataset,has_audio,fps,duration_sec,face_detected,notes
aalscayrfi,datasets/rgb/DFDC/test/frames/aalscayrfi,0,DFDC,1,20,0.15,1,3 frames available
aalyqplqns,datasets/rgb/DFDC/test/frames/aalyqplqns,0,DFDC,1,30,0.533333,1,16 frames available
aamrozxzsq,datasets/rgb/DFDC/test/frames/aamrozxzsq,1,DFDC,1,30,1.066667,1,32 frames available
aaoqanfmgd,datasets/rgb/DFDC/test/frames/aaoqanfmgd,1,DFDC,0,30,1.066667,1,32 frames available
aarpyivfys,datasets/rgb/DFDC/test/frames/aarpyivfys,0,DFDC,1,30,1.066667,1,32 frames available
aaxxukfwqe,datasets/rgb/DFDC/test/frames/aaxxukfwqe,1,DFDC,1,30,1.066667,1,32 frames available
aaygrlxdvd,datasets/rgb/DFDC/test/frames/aaygrlxdvd,1,DFDC,1,30,1.066667,1,32 frames available
abajdarwnl,datasets/rgb/DFDC/test/frames/abajdarwnl,0,DFDC,1,30,1.066667,1,32 frames available
abanuvjvgh,datasets/rgb/DFDC/test/frames/abanuvjvgh,1,DFDC,1,30,1.066667,1,32 frames available
abdlfvoaia,datasets/rgb/DFDC/test/frames/abdlfvoaia,1,DFDC,0,30,1.066667,1,32 frames available
abheqcjyls,datasets/rgb/DFDC/test/frames/abheqcjyls,1,DFDC,1,30,1.033333,1,31 frames available
abwvsloero,datasets/rgb/DFDC/test/frames/abwvsloero,0,DFDC,0,30,1.066667,1,32 frames available
abyulwmxen,datasets/rgb/DFDC/test/frames/abyulwmxen,0,DFDC,1,30,1.033333,1,31 frames available
abzjyreetb,datasets/rgb/DFDC/test/frames/abzjyreetb,1,DFDC,1,30,1.066667,1,32 frames available
accgpnpbll,datasets/rgb/DFDC/test/frames/accgpnpbll,1,DFDC,1,30,1.066667,1,32 frames available
acejoopbey,datasets/rgb/DFDC/test/frames/acejoopbey,0,DFDC,1,30,1.066667,1,32 frames available
achpfflhju,datasets/rgb/DFDC/test/frames/achpfflhju,0,DFDC,0,30,0.266667,1,8 frames available
ackyocyhda,datasets/rgb/DFDC/test/frames/ackyocyhda,1,DFDC,1,30,1.0,1,30 frames available
acmwqyjvoz,datasets/rgb/DFDC/test/frames/acmwqyjvoz,0,DFDC,1,30,1.066667,1,32 frames available
acsaejxizf,datasets/rgb/DFDC/test/frames/acsaejxizf,1,DFDC,1,30,1.066667,1,32 frames available
actcsinsyn,datasets/rgb/DFDC/test/frames/actcsinsyn,1,DFDC,1,30,1.066667,1,32 frames available
acwemvfriu,datasets/rgb/DFDC/test/frames/acwemvfriu,1,DFDC,0,30,1.066667,1,32 frames available
aczoacmgii,datasets/rgb/DFDC/test/frames/aczoacmgii,1,DFDC,1,30,0.833333,1,25 frames available
adaxadcmmc,datasets/rgb/DFDC/test/frames/adaxadcmmc,1,DFDC,1,30,0.833333,1,25 frames available
adsjhmclqx,datasets/rgb/DFDC/test/frames/adsjhmclqx,0,DFDC,1,30,1.066667,1,32 frames available
adtvpabkdk,datasets/rgb/DFDC/test/frames/adtvpabkdk,1,DFDC,1,30,0.833333,1,25 frames available
adykfzegpc,datasets/rgb/DFDC/test/frames/adykfzegpc,0,DFDC,1,30,1.066667,1,32 frames available
aebrfbintp,datasets/rgb/DFDC/test/frames/aebrfbintp,1,DFDC,1,30,1.066667,1,32 frames available
aeetlrrqpy,datasets/rgb/DFDC/test/frames/aeetlrrqpy,1,DFDC,1,30,0.366667,1,11 frames available
aegkavekbj,datasets/rgb/DFDC/test/frames/aegkavekbj,1,DFDC,1,30,1.066667,1,32 frames available
aeibsrjfdo,datasets/rgb/DFDC/test/frames/aeibsrjfdo,0,DFDC,1,30,1.066667,1,32 frames available
aejcxligwn,datasets/rgb/DFDC/test/frames/aejcxligwn,0,DFDC,1,30,1.066667,1,32 frames available
aekpwrkywd,datasets/rgb/DFDC/test/frames/aekpwrkywd,0,DFDC,1,30,1.066667,1,32 frames available
aeliayugdj,datasets/rgb/DFDC/test/frames/aeliayugdj,1,DFDC,1,30,1.066667,1,32 frames available
aequjvehep,datasets/rgb/DFDC/test/frames/aequjvehep,1,DFDC,1,30,1.066667,1,32 frames available
aerypjwzad,datasets/rgb/DFDC/test/frames/aerypjwzad,0,DFDC,1,30,1.066667,1,32 frames available
aeskwxnrpa,datasets/rgb/DFDC/test/frames/aeskwxnrpa,0,DFDC,1,30,0.566667,1,17 frames available
aewayrgnin,datasets/rgb/DFDC/test/frames/aewayrgnin,1,DFDC,0,30,0.166667,1,5 frames available
afbpqkmxwe,datasets/rgb/DFDC/test/frames/afbpqkmxwe,1,DFDC,1,30,1.066667,1,32 frames available
afjjwsmzxv,datasets/rgb/DFDC/test/frames/afjjwsmzxv,0,DFDC,1,30,0.933333,1,28 frames available
agarzvbaqz,datasets/rgb/DFDC/test/frames/agarzvbaqz,0,DFDC,1,30,1.066667,1,32 frames available
agboygijqu,datasets/rgb/DFDC/test/frames/agboygijqu,1,DFDC,1,30,0.9,1,27 frames available
agdkvthrpq,datasets/rgb/DFDC/test/frames/agdkvthrpq,0,DFDC,1,30,1.066667,1,32 frames available
agjcjtqwxb,datasets/rgb/DFDC/test/frames/agjcjtqwxb,1,DFDC,1,30,0.5,1,15 frames available
agkvhqusqq,datasets/rgb/DFDC/test/frames/agkvhqusqq,0,DFDC,0,30,1.066667,1,32 frames available
agotwxujhe,datasets/rgb/DFDC/test/frames/agotwxujhe,1,DFDC,1,30,1.066667,1,32 frames available
agryncucgi,datasets/rgb/DFDC/test/frames/agryncucgi,0,DFDC,1,30,1.066667,1,32 frames available
agwpcqgook,datasets/rgb/DFDC/test/frames/agwpcqgook,1,DFDC,1,30,1.066667,1,32 frames available
ahalakrkhf,datasets/rgb/DFDC/test/frames/ahalakrkhf,0,DFDC,0,30,1.066667,1,32 frames available
aheipdiaai,datasets/rgb/DFDC/test/frames/aheipdiaai,1,DFDC,1,30,1.066667,1,32 frames available
aheytcuhqb,datasets/rgb/DFDC/test/frames/aheytcuhqb,0,DFDC,1,30,1.033333,1,31 frames available
ahfcqsebdn,datasets/rgb/DFDC/test/frames/ahfcqsebdn,1,DFDC,0,30,1.066667,1,32 frames available
ahmqtdzriq,datasets/rgb/DFDC/test/frames/ahmqtdzriq,0,DFDC,1,30,1.066667,1,32 frames available
ahslbdxbjz,datasets/rgb/DFDC/test/frames/ahslbdxbjz,0,DFDC,1,30,1.066667,1,32 frames available
ahunojlhec,datasets/rgb/DFDC/test/frames/ahunojlhec,0,DFDC,0,30,1.066667,1,32 frames available
aiadzztfie,datasets/rgb/DFDC/test/frames/aiadzztfie,1,DFDC,0,30,1.066667,1,32 frames available
aijbxxjini,datasets/rgb/DFDC/test/frames/aijbxxjini,1,DFDC,1,30,1.066667,1,32 frames available
ailljwjwvl,datasets/rgb/DFDC/test/frames/ailljwjwvl,0,DFDC,1,30,0.066667,1,2 frames available
aimfweaqeq,datasets/rgb/DFDC/test/frames/aimfweaqeq,0,DFDC,1,30,0.4,1,12 frames available
airwxzbtgc,datasets/rgb/DFDC/test/frames/airwxzbtgc,0,DFDC,1,30,1.066667,1,32 frames available
ajabvafiow,datasets/rgb/DFDC/test/frames/ajabvafiow,0,DFDC,1,30,1.066667,1,32 frames available
ajcostgfft,datasets/rgb/DFDC/test/frames/ajcostgfft,0,DFDC,1,30,1.066667,1,32 frames available
ajcyrjhppv,datasets/rgb/DFDC/test/frames/ajcyrjhppv,0,DFDC,1,30,1.066667,1,32 frames available
ajdxzmgtrg,datasets/rgb/DFDC/test/frames/ajdxzmgtrg,0,DFDC,1,30,1.066667,1,32 frames available
ajicifdhkl,datasets/rgb/DFDC/test/frames/ajicifdhkl,1,DFDC,1,30,0.933333,1,28 frames available
ajjumdrvbz,datasets/rgb/DFDC/test/frames/ajjumdrvbz,1,DFDC,1,30,1.066667,1,32 frames available
ajlmaswovx,datasets/rgb/DFDC/test/frames/ajlmaswovx,1,DFDC,1,30,0.4,1,12 frames available
ajndpvvqgi,datasets/rgb/DFDC/test/frames/ajndpvvqgi,1,DFDC,1,30,1.033333,1,31 frames available
ajoyrlyqcg,datasets/rgb/DFDC/test/frames/ajoyrlyqcg,1,DFDC,1,30,0.766667,1,23 frames available
ajrjxcbvpy,datasets/rgb/DFDC/test/frames/ajrjxcbvpy,1,DFDC,1,30,0.9,1,27 frames available
ajukjltttq,datasets/rgb/DFDC/test/frames/ajukjltttq,1,DFDC,1,30,1.066667,1,32 frames available
ajuqpvxghw,datasets/rgb/DFDC/test/frames/ajuqpvxghw,1,DFDC,1,30,1.066667,1,32 frames available
ajyndmplcj,datasets/rgb/DFDC/test/frames/ajyndmplcj,1,DFDC,1,30,1.066667,1,32 frames available
ajyphpffjq,datasets/rgb/DFDC/test/frames/ajyphpffjq,1,DFDC,1,10,3.2,1,32 frames available
akdyxhdvsn,datasets/rgb/DFDC/test/frames/akdyxhdvsn,1,DFDC,1,30,0.033333,1,1 frames available
akgbendoho,datasets/rgb/DFDC/test/frames/akgbendoho,1,DFDC,0,30,1.066667,1,32 frames available
akjmrcyqon,datasets/rgb/DFDC/test/frames/akjmrcyqon,1,DFDC,1,10,2.1,1,21 frames available
akojtrykwg,datasets/rgb/DFDC/test/frames/akojtrykwg,0,DFDC,1,30,0.733333,1,22 frames available
aksxapgqri,datasets/rgb/DFDC/test/frames/aksxapgqri,0,DFDC,1,30,1.066667,1,32 frames available
alceitvqms,datasets/rgb/DFDC/test/frames/alceitvqms,0,DFDC,1,30,1.066667,1,32 frames available
alcwnrsocr,datasets/rgb/DFDC/test/frames/alcwnrsocr,1,DFDC,1,30,0.3,1,9 frames available
algsradbrc,datasets/rgb/DFDC/test/frames/algsradbrc,0,DFDC,1,30,1.066667,1,32 frames available
allgsojvol,datasets/rgb/DFDC/test/frames/allgsojvol,1,DFDC,0,30,1.066667,1,32 frames available
aluddintgf,datasets/rgb/DFDC/test/frames/aluddintgf,0,DFDC,1,30,1.066667,1,32 frames available
alxbcivwow,datasets/rgb/DFDC/test/frames/alxbcivwow,1,DFDC,1,30,1.066667,1,32 frames available
alxkmxynew,datasets/rgb/DFDC/test/frames/alxkmxynew,0,DFDC,1,30,0.2,1,6 frames available
alzkwzxevr,datasets/rgb/DFDC/test/frames/alzkwzxevr,0,DFDC,1,30,1.066667,1,32 frames available
alzmdquosn,datasets/rgb/DFDC/test/frames/alzmdquosn,1,DFDC,1,30,1.066667,1,32 frames available
alzpunwsla,datasets/rgb/DFDC/test/frames/alzpunwsla,0,DFDC,1,30,1.066667,1,32 frames available
ambzbzclrq,datasets/rgb/DFDC/test/frames/ambzbzclrq,0,DFDC,1,30,1.066667,1,32 frames available
amcqszhjsq,datasets/rgb/DFDC/test/frames/amcqszhjsq,0,DFDC,1,30,1.066667,1,32 frames available
amdxcpeuvi,datasets/rgb/DFDC/test/frames/amdxcpeuvi,0,DFDC,1,30,0.833333,1,25 frames available
amgjxfmtys,datasets/rgb/DFDC/test/frames/amgjxfmtys,1,DFDC,1,30,1.066667,1,32 frames available
