sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
real_000,FF++,0,UCF,visual,0.171,probability,9318.98,N/A,N/A,ok,
real_001,FF++,0,UCF,visual,0.0113,probability,281.21,N/A,N/A,ok,
real_002,FF++,0,UCF,visual,0.5246,probability,263.47,N/A,N/A,ok,
real_003,FF++,0,UCF,visual,0.5693,probability,267.19,N/A,N/A,ok,
real_004,FF++,0,UCF,visual,0.1966,probability,265.14,N/A,N/A,ok,
real_005,FF++,0,UCF,visual,0.091,probability,273.38,N/A,N/A,ok,
real_006,FF++,0,UCF,visual,0.048,probability,222.8,N/A,N/A,ok,
real_007,FF++,0,UCF,visual,0.1484,probability,298.75,N/A,N/A,ok,
real_008,FF++,0,UCF,visual,0.0196,probability,268.04,N/A,N/A,ok,
real_009,FF++,0,UCF,visual,0.1844,probability,283.87,N/A,N/A,ok,
real_010,FF++,0,UCF,visual,0.0656,probability,311.13,N/A,N/A,ok,
real_011,FF++,0,UCF,visual,0.1274,probability,299.67,N/A,N/A,ok,
real_012,FF++,0,UCF,visual,0.061,probability,258.73,N/A,N/A,ok,
real_013,FF++,0,UCF,visual,0.2019,probability,270.86,N/A,N/A,ok,
real_014,FF++,0,UCF,visual,0.3196,probability,262.99,N/A,N/A,ok,
real_015,FF++,0,UCF,visual,0.5471,probability,251.28,N/A,N/A,ok,
real_016,FF++,0,UCF,visual,0.116,probability,282.43,N/A,N/A,ok,
real_017,FF++,0,UCF,visual,0.0539,probability,288.79,N/A,N/A,ok,
real_018,FF++,0,UCF,visual,0.4874,probability,277.8,N/A,N/A,ok,
real_019,FF++,0,UCF,visual,0.1038,probability,274.45,N/A,N/A,ok,
real_020,FF++,0,UCF,visual,0.1058,probability,229.4,N/A,N/A,ok,
real_021,FF++,0,UCF,visual,0.7861,probability,236.47,N/A,N/A,ok,
real_022,FF++,0,UCF,visual,0.2261,probability,295.49,N/A,N/A,ok,
real_023,FF++,0,UCF,visual,0.7338,probability,295.25,N/A,N/A,ok,
real_024,FF++,0,UCF,visual,0.5227,probability,333.66,N/A,N/A,ok,
fake_000_003,FF++,1,UCF,visual,0.9853,probability,302.61,N/A,N/A,ok,
fake_001_870,FF++,1,UCF,visual,0.9954,probability,239.98,N/A,N/A,ok,
fake_002_006,FF++,1,UCF,visual,0.9975,probability,270.58,N/A,N/A,ok,
fake_003_000,FF++,1,UCF,visual,0.9937,probability,258.22,N/A,N/A,ok,
fake_004_982,FF++,1,UCF,visual,0.9772,probability,275.51,N/A,N/A,ok,
fake_005_010,FF++,1,UCF,visual,0.9263,probability,256.53,N/A,N/A,ok,
fake_006_002,FF++,1,UCF,visual,0.9931,probability,247.52,N/A,N/A,ok,
fake_007_132,FF++,1,UCF,visual,0.9973,probability,248.36,N/A,N/A,ok,
fake_008_990,FF++,1,UCF,visual,0.9931,probability,277.92,N/A,N/A,ok,
fake_009_027,FF++,1,UCF,visual,0.9921,probability,299.49,N/A,N/A,ok,
fake_010_005,FF++,1,UCF,visual,0.9986,probability,281.65,N/A,N/A,ok,
fake_011_805,FF++,1,UCF,visual,0.9984,probability,267.07,N/A,N/A,ok,
fake_012_026,FF++,1,UCF,visual,0.9515,probability,259.02,N/A,N/A,ok,
fake_013_883,FF++,1,UCF,visual,0.995,probability,253.28,N/A,N/A,ok,
fake_014_790,FF++,1,UCF,visual,0.9944,probability,282.36,N/A,N/A,ok,
fake_015_919,FF++,1,UCF,visual,0.9299,probability,255.54,N/A,N/A,ok,
fake_016_209,FF++,1,UCF,visual,0.9958,probability,283.51,N/A,N/A,ok,
fake_017_803,FF++,1,UCF,visual,0.999,probability,320.25,N/A,N/A,ok,
fake_018_019,FF++,1,UCF,visual,0.9984,probability,302.0,N/A,N/A,ok,
fake_019_018,FF++,1,UCF,visual,0.9969,probability,300.02,N/A,N/A,ok,
fake_020_344,FF++,1,UCF,visual,0.993,probability,342.43,N/A,N/A,ok,
fake_021_312,FF++,1,UCF,visual,0.9935,probability,332.74,N/A,N/A,ok,
fake_022_489,FF++,1,UCF,visual,0.9947,probability,363.72,N/A,N/A,ok,
fake_023_923,FF++,1,UCF,visual,0.9787,probability,308.5,N/A,N/A,ok,
fake_024_073,FF++,1,UCF,visual,0.9935,probability,295.91,N/A,N/A,ok,
