sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
celeb_real_000,Celeb-DF-v2-Real,0,UCF,visual,0.4625,probability,6874.6,N/A,N/A,ok,
celeb_real_001,Celeb-DF-v2-Real,0,UCF,visual,0.4047,probability,309.56,N/A,N/A,ok,
celeb_real_002,Celeb-DF-v2-Real,0,UCF,visual,0.0125,probability,248.71,N/A,N/A,ok,
celeb_real_003,Celeb-DF-v2-Real,0,UCF,visual,0.3851,probability,238.3,N/A,N/A,ok,
celeb_real_004,Celeb-DF-v2-Real,0,UCF,visual,0.0264,probability,254.2,N/A,N/A,ok,
celeb_real_005,Celeb-DF-v2-Real,0,UCF,visual,0.476,probability,184.31,N/A,N/A,ok,
celeb_real_006,Celeb-DF-v2-Real,0,UCF,visual,0.4473,probability,208.02,N/A,N/A,ok,
celeb_real_007,Celeb-DF-v2-Real,0,UCF,visual,0.3552,probability,285.45,N/A,N/A,ok,
celeb_real_008,Celeb-DF-v2-Real,0,UCF,visual,0.0689,probability,218.48,N/A,N/A,ok,
celeb_real_009,Celeb-DF-v2-Real,0,UCF,visual,0.2176,probability,259.3,N/A,N/A,ok,
celeb_real_010,Celeb-DF-v2-Real,0,UCF,visual,0.1288,probability,223.47,N/A,N/A,ok,
celeb_real_011,Celeb-DF-v2-Real,0,UCF,visual,0.4783,probability,212.09,N/A,N/A,ok,
celeb_real_012,Celeb-DF-v2-Real,0,UCF,visual,0.2244,probability,247.63,N/A,N/A,ok,
celeb_real_013,Celeb-DF-v2-Real,0,UCF,visual,0.0245,probability,211.2,N/A,N/A,ok,
celeb_real_014,Celeb-DF-v2-Real,0,UCF,visual,0.1244,probability,277.97,N/A,N/A,ok,
celeb_real_015,Celeb-DF-v2-Real,0,UCF,visual,0.1648,probability,301.52,N/A,N/A,ok,
celeb_real_016,Celeb-DF-v2-Real,0,UCF,visual,0.5289,probability,273.71,N/A,N/A,ok,
celeb_real_017,Celeb-DF-v2-Real,0,UCF,visual,0.2007,probability,301.83,N/A,N/A,ok,
celeb_real_018,Celeb-DF-v2-Real,0,UCF,visual,0.6199,probability,266.95,N/A,N/A,ok,
celeb_real_019,Celeb-DF-v2-Real,0,UCF,visual,0.0701,probability,234.1,N/A,N/A,ok,
celeb_real_020,Celeb-DF-v2-Real,0,UCF,visual,0.2143,probability,269.38,N/A,N/A,ok,
celeb_real_021,Celeb-DF-v2-Real,0,UCF,visual,0.1681,probability,269.4,N/A,N/A,ok,
celeb_real_022,Celeb-DF-v2-Real,0,UCF,visual,0.2501,probability,221.1,N/A,N/A,ok,
celeb_real_023,Celeb-DF-v2-Real,0,UCF,visual,0.1492,probability,206.9,N/A,N/A,ok,
celeb_real_024,Celeb-DF-v2-Real,0,UCF,visual,0.3095,probability,246.19,N/A,N/A,ok,
celeb_fake_000,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9047,probability,297.59,N/A,N/A,ok,
celeb_fake_001,Celeb-DF-v2-Synthesis,1,UCF,visual,0.6747,probability,307.4,N/A,N/A,ok,
celeb_fake_002,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9869,probability,270.7,N/A,N/A,ok,
celeb_fake_003,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9634,probability,276.62,N/A,N/A,ok,
celeb_fake_004,Celeb-DF-v2-Synthesis,1,UCF,visual,0.5276,probability,293.1,N/A,N/A,ok,
celeb_fake_005,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9497,probability,292.16,N/A,N/A,ok,
celeb_fake_006,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9354,probability,295.66,N/A,N/A,ok,
celeb_fake_007,Celeb-DF-v2-Synthesis,1,UCF,visual,0.8624,probability,267.82,N/A,N/A,ok,
celeb_fake_008,Celeb-DF-v2-Synthesis,1,UCF,visual,0.7724,probability,245.61,N/A,N/A,ok,
celeb_fake_009,Celeb-DF-v2-Synthesis,1,UCF,visual,0.7969,probability,259.27,N/A,N/A,ok,
celeb_fake_010,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9101,probability,259.25,N/A,N/A,ok,
celeb_fake_011,Celeb-DF-v2-Synthesis,1,UCF,visual,0.6921,probability,243.47,N/A,N/A,ok,
celeb_fake_012,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9959,probability,260.69,N/A,N/A,ok,
celeb_fake_013,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9918,probability,277.44,N/A,N/A,ok,
celeb_fake_014,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9263,probability,331.06,N/A,N/A,ok,
celeb_fake_015,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9578,probability,347.53,N/A,N/A,ok,
celeb_fake_016,Celeb-DF-v2-Synthesis,1,UCF,visual,0.8776,probability,283.43,N/A,N/A,ok,
celeb_fake_017,Celeb-DF-v2-Synthesis,1,UCF,visual,0.8136,probability,279.27,N/A,N/A,ok,
celeb_fake_018,Celeb-DF-v2-Synthesis,1,UCF,visual,0.9186,probability,234.66,N/A,N/A,ok,
celeb_fake_019,Celeb-DF-v2-Synthesis,1,UCF,visual,0.5242,probability,273.81,N/A,N/A,ok,
