sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
real_000,FF++,0,Xception_timm_imagenet,visual,0.5145,probability,159.9,N/A,N/A,ok,
real_001,FF++,0,Xception_timm_imagenet,visual,0.5187,probability,135.31,N/A,N/A,ok,
real_002,FF++,0,Xception_timm_imagenet,visual,0.4536,probability,128.68,N/A,N/A,ok,
real_003,FF++,0,Xception_timm_imagenet,visual,0.4719,probability,125.71,N/A,N/A,ok,
real_004,FF++,0,Xception_timm_imagenet,visual,0.471,probability,127.46,N/A,N/A,ok,
real_005,FF++,0,Xception_timm_imagenet,visual,0.4919,probability,126.25,N/A,N/A,ok,
real_006,FF++,0,Xception_timm_imagenet,visual,0.4634,probability,125.62,N/A,N/A,ok,
real_007,FF++,0,Xception_timm_imagenet,visual,0.4866,probability,126.08,N/A,N/A,ok,
real_008,FF++,0,Xception_timm_imagenet,visual,0.5113,probability,125.42,N/A,N/A,ok,
real_009,FF++,0,Xception_timm_imagenet,visual,0.4353,probability,126.01,N/A,N/A,ok,
real_010,FF++,0,Xception_timm_imagenet,visual,0.5249,probability,127.09,N/A,N/A,ok,
real_011,FF++,0,Xception_timm_imagenet,visual,0.5413,probability,125.79,N/A,N/A,ok,
real_012,FF++,0,Xception_timm_imagenet,visual,0.5354,probability,126.64,N/A,N/A,ok,
real_013,FF++,0,Xception_timm_imagenet,visual,0.5109,probability,128.79,N/A,N/A,ok,
real_014,FF++,0,Xception_timm_imagenet,visual,0.464,probability,126.65,N/A,N/A,ok,
real_015,FF++,0,Xception_timm_imagenet,visual,0.4961,probability,125.49,N/A,N/A,ok,
real_016,FF++,0,Xception_timm_imagenet,visual,0.499,probability,127.36,N/A,N/A,ok,
real_017,FF++,0,Xception_timm_imagenet,visual,0.5244,probability,126.02,N/A,N/A,ok,
real_018,FF++,0,Xception_timm_imagenet,visual,0.5002,probability,125.42,N/A,N/A,ok,
real_019,FF++,0,Xception_timm_imagenet,visual,0.5172,probability,125.13,N/A,N/A,ok,
real_020,FF++,0,Xception_timm_imagenet,visual,0.494,probability,128.67,N/A,N/A,ok,
real_021,FF++,0,Xception_timm_imagenet,visual,0.5486,probability,126.99,N/A,N/A,ok,
real_022,FF++,0,Xception_timm_imagenet,visual,0.5012,probability,126.36,N/A,N/A,ok,
real_023,FF++,0,Xception_timm_imagenet,visual,0.5237,probability,126.17,N/A,N/A,ok,
real_024,FF++,0,Xception_timm_imagenet,visual,0.5339,probability,126.33,N/A,N/A,ok,
fake_000_003,FF++,1,Xception_timm_imagenet,visual,0.5085,probability,126.93,N/A,N/A,ok,
fake_001_870,FF++,1,Xception_timm_imagenet,visual,0.5228,probability,125.99,N/A,N/A,ok,
fake_002_006,FF++,1,Xception_timm_imagenet,visual,0.4517,probability,125.44,N/A,N/A,ok,
fake_003_000,FF++,1,Xception_timm_imagenet,visual,0.4995,probability,125.39,N/A,N/A,ok,
fake_004_982,FF++,1,Xception_timm_imagenet,visual,0.4648,probability,124.7,N/A,N/A,ok,
fake_005_010,FF++,1,Xception_timm_imagenet,visual,0.4971,probability,127.02,N/A,N/A,ok,
fake_006_002,FF++,1,Xception_timm_imagenet,visual,0.4706,probability,125.09,N/A,N/A,ok,
fake_007_132,FF++,1,Xception_timm_imagenet,visual,0.5002,probability,126.8,N/A,N/A,ok,
fake_008_990,FF++,1,Xception_timm_imagenet,visual,0.5136,probability,126.02,N/A,N/A,ok,
fake_009_027,FF++,1,Xception_timm_imagenet,visual,0.4427,probability,126.27,N/A,N/A,ok,
fake_010_005,FF++,1,Xception_timm_imagenet,visual,0.5453,probability,125.86,N/A,N/A,ok,
fake_011_805,FF++,1,Xception_timm_imagenet,visual,0.5245,probability,125.34,N/A,N/A,ok,
fake_012_026,FF++,1,Xception_timm_imagenet,visual,0.5346,probability,125.59,N/A,N/A,ok,
fake_013_883,FF++,1,Xception_timm_imagenet,visual,0.5304,probability,126.66,N/A,N/A,ok,
fake_014_790,FF++,1,Xception_timm_imagenet,visual,0.4692,probability,125.35,N/A,N/A,ok,
fake_015_919,FF++,1,Xception_timm_imagenet,visual,0.4973,probability,124.58,N/A,N/A,ok,
fake_016_209,FF++,1,Xception_timm_imagenet,visual,0.49,probability,126.96,N/A,N/A,ok,
fake_017_803,FF++,1,Xception_timm_imagenet,visual,0.5272,probability,126.9,N/A,N/A,ok,
fake_018_019,FF++,1,Xception_timm_imagenet,visual,0.5013,probability,125.22,N/A,N/A,ok,
fake_019_018,FF++,1,Xception_timm_imagenet,visual,0.5032,probability,126.12,N/A,N/A,ok,
fake_020_344,FF++,1,Xception_timm_imagenet,visual,0.4789,probability,125.7,N/A,N/A,ok,
fake_021_312,FF++,1,Xception_timm_imagenet,visual,0.5513,probability,125.68,N/A,N/A,ok,
fake_022_489,FF++,1,Xception_timm_imagenet,visual,0.5121,probability,125.77,N/A,N/A,ok,
fake_023_923,FF++,1,Xception_timm_imagenet,visual,0.5219,probability,124.53,N/A,N/A,ok,
fake_024_073,FF++,1,Xception_timm_imagenet,visual,0.5432,probability,125.22,N/A,N/A,ok,
